OTU	63 Abundance	1 Abundance	10 Abundance	23 Abundance	2 Abundance	11 Abundance	24 Abundance	3 Abundance	12 Abundance	25 Abundance	4 Abundance	14 Abundance	30 Abundance	6 Abundance	15 Abundance	31 Abundance	7 Abundance	16 Abundance	35 Abundance	8 Abundance	20 Abundance	36 Abundance	9 Abundance	22 Abundance	37 Abundance	38 Abundance	48 Abundance	56 Abundance	39 Abundance	49 Abundance	57 Abundance	41 Abundance	50 Abundance	58 Abundance	42 Abundance	51 Abundance	59 Abundance	43 Abundance	52 Abundance	60 Abundance	44 Abundance	53 Abundance	61 Abundance	46 Abundance	54 Abundance	62 Abundance	47 Abundance	55 Abundance	17 Abundance	76 Abundance	18 Abundance	69 Abundance	77 Abundance	19 Abundance	78 Abundance	27 Abundance	79 Abundance	32 Abundance	72 Abundance	80 Abundance	64 Abundance	81 Abundance	82 Abundance	67 Abundance	75 Abundance	83 Abundance	84 Abundance	92 Abundance	100 Abundance	85 Abundance	93 Abundance	101 Abundance	86 Abundance	94 Abundance	102 Abundance	87 Abundance	95 Abundance	103 Abundance	88 Abundance	96 Abundance	104 Abundance	89 Abundance	97 Abundance	105 Abundance	90 Abundance	106 Abundance	91 Abundance	99 Abundance	107 Abundance	108 Abundance	116 Abundance	109 Abundance	117 Abundance	110 Abundance	118 Abundance	111 Abundance	70 Abundance	112 Abundance	71 Abundance	113 Abundance	73 Abundance	114 Abundance	74 Abundance	115 Abundance	98 Abundance
Cardiobacterium hominis ATCC 15826	69	5	107	0	6	0	162	0	0	0	11	7	67	0	18	223	0	9	0	10	0	0	118	49	4	0	0	190	0	105	0	178	0	50	116	64	59	89	187	0	8	192	0	0	130	81	1820	154	0	56	0	66	33	0	101	0	0	43	6	0	8	0	139	0	0	67	0	0	0	0	0	42	70	0	15	5	0	93	53	4	0	0	84	0	0	0	3	7	0	0	0	44	59	0	20	0	0	219	0	0	214	14	0	197	392
Dialister invisus DSM 15470	68	25	0	61	0	0	0	28	113	162	0	0	44	88	0	0	26	235	129	0	114	299	250	47	80	0	438	22	184	0	146	13	661	0	0	0	0	0	6	88	49	101	156	13618	0	214	79	0	184	16	73	36	0	26	0	6	267	10	104	13	5	0	147	27	136	0	16	12	43	302	0	57	10	22	0	0	11	0	0	153	12	81	114	201	48	4	0	18	18	132	0	25	0	103	38	84	37	0	306	31	30	7	530	0	11
Eikenella corrodens CC92I	34	0	33	21	17	17	30	26	19	61	37	27	49	0	50	33	19	0	0	50	17	0	15	28	90	9	0	179	0	24	0	30	0	499	23	36	38	130	87	156	31	393	36	45	64	160	1039	269	54	0	0	31	4	4	13	152	0	0	8	77	4	5	85	0	0	42	104	13	0	0	48	5	105	30	82	4	7	74	9	23	6	0	65	0	24	6	196	15	7	125	11	433	310	0	26	66	68	113	0	16	53	295	33	16	501
Elizabethkingia anophelis NUHP1	99	0	53	0	8	19	160	0	0	0	205	0	0	0	23	0	20	0	0	25	0	0	11	7	10	0	0	24	0	14	0	44	0	654	13	35	122	120	56	0	0	51	0	0	99	0	231	49	0	35	0	16	14	0	91	6	0	9	0	0	6	0	11	0	0	93	0	0	0	0	27	0	61	0	0	0	0	297	22	0	0	0	0	0	0	40	16	0	52	63	31	82	11	0	26	0	0	78	0	0	123	150	0	20	39
Eubacterium brachy ATCC 33089	46	187	0	23	43	42	0	233	0	9	17	0	75	204	0	0	115	0	12	8	18	329	54	42	26	22	317	76	168	0	71	11	194	0	83	0	0	15	26	81	67	45	48	2727	0	712	0	24	250	6	23	10	3	199	0	37	127	0	12	21	44	0	57	17	44	22	33	42	43	6	0	22	16	62	9	44	3	0	0	14	15	89	21	42	183	26	0	9	6	66	0	41	0	190	16	331	99	100	305	136	11	0	595	0	11
Eubacterium saphenum ATCC 49989	0	99	0	37	57	5	0	85	0	43	0	0	124	18	0	0	3	0	88	0	116	242	0	0	122	0	384	0	24	0	0	0	35	0	18	0	0	0	50	0	26	29	0	695	0	10	0	0	145	2	29	7	0	76	0	11	8	0	49	0	77	0	0	54	4	0	0	8	147	6	0	20	0	49	1	3	35	0	0	12	49	4	15	11	36	0	0	85	0	0	0	0	0	302	0	405	0	0	24	378	11	0	65	4	59
Fusobacterium nucleatum subsp. animalis 7_1	176	259	9	354	120	0	0	424	1226	347	37	130	252	63	60	57	50	1717	251	5	180	1306	58	357	260	103	50	68	423	6	13	70	456	0	305	45	0	140	175	767	579	182	384	7304	0	305	678	0	598	32	199	9	2	241	0	33	453	27	124	433	9	6	207	320	191	3	166	47	85	181	0	148	0	45	25	27	24	0	25	285	223	126	37	763	57	27	19	39	59	806	0	206	0	521	508	372	742	408	455	322	43	149	1379	0	83
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	1338	1530	250	640	51	1057	75	1541	0	22	507	73	456	846	142	249	1463	8	0	982	380	72	361	916	167	106	1499	160	114	23	2052	0	223	103	132	155	6	320	251	607	359	264	299	5915	250	5181	1223	1478	90	14	0	8	22	48	62	146	2	0	12	260	259	0	571	21	0	1141	985	0	90	7	0	77	71	0	587	344	39	20	0	37	152	218	90	399	0	9	47	95	0	585	73	497	978	135	791	44	831	193	12	655	16	662	34	94	585
Fusobacterium nucleatum subsp. vincentii 3_1_36A2	141	209	21	192	356	220	4	403	0	288	156	0	55	46	0	64	399	0	181	46	99	2449	238	141	487	162	18	347	674	0	20	323	129	0	346	93	10	137	248	1138	834	62	104	4165	7	1011	56	109	956	64	97	143	148	344	64	52	710	33	234	355	184	10	535	235	297	62	592	224	175	274	41	243	54	662	269	92	31	0	0	178	207	47	125	276	1106	991	31	59	87	268	6	175	16	860	177	1336	229	245	1041	847	124	21	2816	0	140
Granulicatella adiacens ATCC 49175	720	12	51	4	0	169	31	13	8	0	84	39	64	0	200	188	81	11	14	134	0	57	34	52	85	0	11	0	7	31	0	4	0	74	15	87	177	114	52	158	0	59	389	0	71	116	1100	11	48	60	99	0	26	7	63	32	0	0	0	3	74	54	24	12	18	157	27	277	0	0	424	10	18	0	0	0	8	19	15	12	0	0	17	208	132	78	522	0	254	277	293	61	34	0	99	0	218	14	0	52	13	371	0	14	191
Haemophilus parainfluenzae T3T1	526	26	205	969	309	81	1499	9	33	19	495	108	0	25	813	15	82	9	7	137	24	88	134	1542	0	0	0	491	109	66	4	754	18	5	17	1317	180	23	108	377	41	527	422	0	453	117	1638	309	0	103	0	0	34	0	76	171	111	747	16	52	9	531	117	782	35	76	256	0	5	13	0	16	126	0	51	19	34	22	75	13	67	25	7	20	0	4	0	4	56	8	316	589	130	34	3327	8	526	99	0	162	25	256	0	3048	630
Kingella denitrificans ATCC 33394	31	0	128	0	0	104	118	0	0	0	0	4	63	0	11	157	19	0	0	14	0	0	33	0	0	0	0	97	13	57	0	260	0	41	113	25	0	285	21	0	15	128	0	0	301	0	7609	12	0	10	0	2	0	0	0	3	0	0	17	0	24	10	0	0	0	0	0	0	0	3	1	0	28	0	0	14	5	2	69	8	0	0	40	15	0	13	5	28	63	93	0	50	81	0	102	0	0	0	0	0	727	70	0	0	819
Lautropia mirabilis ATCC 51599	1495	60	608	0	75	105	629	0	8	0	543	282	29	0	814	20	62	171	0	221	0	0	402	130	32	0	0	58	0	641	8	0	0	166	40	227	4	700	99	0	8	113	0	0	665	102	380	28	0	79	0	0	37	0	125	58	0	1090	0	0	26	59	0	0	0	160	0	815	0	9	1090	23	133	0	548	75	8	845	320	10	16	0	13	252	732	1156	1384	0	2486	3293	4766	889	231	0	129	0	0	29	0	0	1324	3274	0	805	600
Leptotrichia buccalis C-1013-b	14	145	71	42	11	0	0	190	0	86	30	9	180	103	0	763	9	0	5	68	0	0	21	0	31	0	0	130	0	38	0	115	30	17	117	61	0	195	112	0	0	59	12	3519	128	0	10544	36	27	258	5	16	29	0	28	58	0	0	17	0	0	4	14	188	0	0	0	0	0	15	38	53	87	0	0	9	0	11	69	0	0	0	26	0	0	0	19	12	0	0	16	108	262	9	18	0	0	0	6	27	109	89	0	182	202
Mogibacterium sp. CM50	18	102	0	43	36	5	0	83	167	84	0	26	36	94	28	0	121	31	49	18	62	71	18	0	18	0	164	8	41	0	76	0	83	0	34	0	0	0	9	27	93	25	45	3356	0	258	48	42	58	6	64	14	2	19	0	5	123	0	55	4	6	0	25	17	68	0	15	20	64	35	0	40	0	56	8	6	16	0	0	13	38	17	0	21	46	37	0	8	0	78	7	17	24	149	8	119	11	5	196	203	13	17	380	0	0
Neisseria elongata subsp. glycolytica ATCC 29315	122	10	389	20	31	52	841	0	0	0	532	58	78	15	163	720	79	0	0	135	0	0	192	5	2114	0	0	55	0	70	0	0	0	157	141	274	7	229	205	0	0	578	0	0	1000	0	16065	27	0	915	3	39	442	0	2014	327	0	0	5	0	78	11	61	19	0	54	32	2	0	13	0	58	269	0	8	12	0	393	161	14	0	0	54	0	0	0	0	15	0	0	57	0	260	17	373	0	0	514	0	0	44	578	0	79	588
Neisseria sicca ATCC 29256	24	82	437	6	2634	333	226	9	11	0	2002	333	95	11	768	32	57	0	0	153	10	0	557	154	95	0	56	10	42	2289	0	74	0	94	0	860	13	0	447	0	51	59	225	0	397	0	37193	0	0	238	0	137	80	0	329	0	102	0	118	0	1941	35	0	62	10	281	8	204	0	30	112	42	123	0	9	63	20	6	395	201	0	18	18	0	66	208	6	5	86	56	934	222	555	0	661	0	25	0	0	0	1495	506	0	3490	566
Parvimonas micra ATCC 33270	124	104	0	34	42	9	0	239	251	5	41	57	6	116	32	0	36	101	17	30	7	43	191	68	19	0	840	108	768	0	86	7	321	5	170	12	0	55	5	76	482	15	170	6707	0	1106	0	50	398	11	71	19	23	181	0	40	376	0	92	45	13	0	54	4	58	0	43	41	31	112	0	31	12	91	0	2	0	0	3	102	34	43	27	80	195	20	0	1	17	174	7	73	0	252	195	315	126	21	566	183	24	0	1002	0	13
Parvimonas sp. oral taxon 110 str. F0139	49	127	0	40	29	62	0	267	381	23	38	91	28	104	64	0	7	200	59	5	76	661	14	21	121	16	76	25	85	0	4	75	31	0	40	0	0	98	0	1238	87	0	97	920	0	269	0	12	5	4	3	0	16	1	0	0	147	0	2	8	84	6	0	42	83	244	51	22	18	126	0	11	4	55	0	5	7	0	0	30	8	21	28	114	137	17	0	37	13	231	0	63	0	70	135	37	596	7	304	29	20	0	501	0	37
Porphyromonas endodontalis ATCC 35406	92	371	0	313	144	354	0	131	679	89	8	6	138	154	0	0	499	349	355	39	182	1266	26	0	228	0	190	335	871	0	508	0	843	37	592	0	0	198	204	58	839	136	267	20146	0	468	0	15	334	77	105	74	0	173	0	84	720	43	364	522	330	14	308	408	432	0	630	79	118	356	0	57	56	244	0	132	44	0	3	118	54	613	44	542	389	63	0	330	0	481	0	389	0	303	169	486	4	595	1107	303	141	14	3203	0	68
Porphyromonas gingivalis W83	686	2696	0	830	943	1875	0	1211	0	573	618	0	48	1739	0	0	2270	0	745	929	890	938	171	6	484	163	4026	0	1359	7	0	67	1471	0	1493	0	0	332	0	41	3913	373	747	39022	0	5248	71	0	1031	22	270	275	0	821	0	84	554	64	0	0	60	9	0	783	829	0	0	316	1503	12	0	807	21	588	523	977	103	0	7	9	1627	886	20	641	2148	2440	0	95	0	612	51	269	0	5608	7	3739	472	0	0	6639	0	386	0	11	70
Prevotella oris C735	0	40	0	125	25	100	0	41	1327	59	0	2547	32	500	189	0	153	3120	97	0	432	613	906	310	75	0	217	495	423	0	0	136	374	0	0	0	23	0	25	608	74	106	161	3986	0	71	1260	79	0	21	41	90	5	0	0	72	324	5	113	29	5	7	513	408	63	16	52	43	104	226	0	121	0	52	0	0	4	0	0	188	116	259	75	45	153	99	10	5	0	0	225	16	66	96	100	387	384	131	901	49	31	12	580	114	0
Pseudopropionibacterium propionicum F0230a	253	0	35	0	16	0	24	0	10	0	54	0	18	0	18	18	0	0	0	0	0	0	80	0	0	44	0	191	0	37	24	335	0	79	19	130	102	66	242	0	0	80	9	0	57	351	0	762	0	5	0	54	0	6	27	9	0	0	10	0	0	6	33	0	0	37	20	172	0	0	110	0	14	3	123	0	0	69	21	0	0	0	16	0	50	51	76	0	277	795	13	682	55	0	14	0	0	22	0	11	1085	404	0	118	112
Rothia aeria	57	9	10	0	131	10	235	0	0	0	148	17	8	0	13	0	8	216	0	27	0	0	18	162	50	0	0	35	0	123	0	125	0	117	0	46	13	99	63	0	78	94	0	0	171	0	2208	150	0	9	0	27	0	0	115	28	0	147	17	0	38	91	0	14	0	78	0	4	0	0	5	21	17	0	335	20	6	362	110	244	0	169	38	25	0	685	0	16	901	3163	35	512	42	0	1298	0	0	166	0	0	530	0	0	17	237
Rothia dentocariosa ATCC 17931	24	0	0	0	0	0	27	0	0	0	9	6	11	0	67	69	0	34	16	0	0	22	0	379	146	4174	16	13	0	189	8	81	0	39	6	4	34	5	0	0	0	90	0	0	25	25	2597	682	0	236	0	0	7	0	80	6	0	14	17	0	65	2163	30	31	0	1201	13	0	0	4	3	0	0	0	28	29	4	76	692	40	14	171	24	0	0	4	0	27	18	38	14	4	0	440	25	212	156	1519	0	56	631	0	0	0	80
Selenomonas sputigena ATCC 35185	19	281	0	121	37	0	0	334	447	210	0	57	82	397	0	0	25	758	131	0	114	132	26	16	103	0	54	0	124	0	0	0	96	0	7	0	0	0	32	0	29	177	8	6287	0	145	426	0	201	10	247	32	0	74	0	21	42	8	102	0	0	0	74	57	28	0	0	37	91	86	0	146	0	32	0	15	48	0	0	72	62	25	9	21	156	22	0	40	0	0	0	8	317	18	7	12	0	0	597	66	28	14	524	11	0
Streptococcus mitis bv. 2 str. F0392	15	0	4	7	0	10	0	31	0	0	0	0	415	0	3	254	9	0	11	17	7	74	0	12	19	0	22	40	5	267	7	5	13	79	43	43	266	55	75	94	0	35	656	0	95	13	1988	85	0	36	0	10	22	0	107	0	0	5	8	0	8	10	0	24	21	48	6	128	4	0	121	12	12	0	6	0	7	18	3	30	4	0	8	236	45	133	120	8	809	670	454	18	52	298	106	26	1615	301	0	810	37	423	0	329	260
Streptococcus oralis Uo5	234	21	213	15	23	446	124	7	65	0	209	192	0	33	456	20	386	10	8	582	21	95	92	66	0	0	17	108	39	117	21	0	12	12	24	188	236	0	115	347	0	289	588	0	256	76	1712	411	24	44	68	0	27	0	109	69	0	0	15	0	9	49	8	15	32	10	34	0	0	7	0	25	16	0	9	25	18	47	143	18	0	13	7	49	0	72	0	0	178	325	2344	15	237	0	466	0	1154	22	6	0	210	2565	0	1383	140
Streptococcus sanguinis SK36	4465	124	1051	89	962	75	1209	11	17	0	662	121	29	21	516	209	296	66	0	535	0	19	129	430	100	17	0	135	12	503	0	401	0	365	60	53	492	612	83	22	19	0	77	0	118	26	1143	668	0	49	22	121	33	0	431	5	0	55	0	0	150	48	115	18	4	1208	9	4	0	3	33	50	67	0	89	70	23	944	515	50	0	9	41	84	6	639	16	3	861	897	3783	1523	286	361	273	16	88	2917	0	365	359	2984	0	2501	381
Tannerella forsythia 92A2	237	351	0	188	151	450	0	189	191	307	104	9	121	164	11	0	717	9	305	201	594	388	42	0	280	135	1044	61	215	0	774	189	168	0	726	25	0	240	185	0	630	160	125	8691	0	1970	98	71	293	26	68	118	13	316	0	77	131	8	362	431	126	9	621	84	99	0	412	96	209	67	0	138	8	226	371	413	101	0	0	67	190	176	70	412	533	278	0	153	0	192	0	62	480	257	77	513	46	0	168	348	127	87	775	0	72
Thermovirga lienii DSM 17291	18	143	0	35	70	14	0	128	0	71	21	0	79	74	0	0	69	0	183	0	135	180	0	0	93	18	318	13	96	0	57	0	28	0	120	0	0	13	12	0	221	11	31	3366	0	782	0	72	140	13	19	51	0	121	0	23	25	0	43	56	43	5	107	90	27	0	21	54	62	17	0	25	0	114	24	134	28	0	0	12	66	172	42	299	147	12	0	80	0	145	0	43	0	143	7	454	0	0	104	380	22	0	263	0	33
Treponema denticola ATCC 35405	0	437	0	272	134	316	0	359	298	343	29	0	211	274	0	0	642	0	793	182	637	617	9	0	400	184	1448	52	516	0	733	0	432	0	159	0	0	20	64	0	378	211	67	23362	0	1178	0	22	452	53	172	60	0	435	0	62	126	18	124	587	110	18	302	440	274	0	283	0	765	153	0	181	12	0	31	792	496	0	0	112	364	441	196	292	5	64	0	795	0	257	0	51	0	1027	44	1242	22	64	524	886	41	77	2153	0	169
Treponema maltophilum ATCC 51939	28	135	0	23	69	247	0	144	0	147	25	0	45	82	0	0	260	0	108	108	116	141	20	0	79	21	188	0	131	0	27	23	71	0	193	0	0	31	31	0	112	67	22	3021	0	70	0	0	139	0	63	50	0	117	0	30	86	5	26	98	14	0	69	97	53	0	52	0	506	25	0	149	0	0	54	164	73	0	0	18	205	97	46	113	0	85	0	128	0	37	0	0	0	348	5	310	0	0	77	215	10	10	136	0	21
Treponema medium ATCC 700293	0	363	0	214	219	26	0	766	342	421	0	0	134	100	0	0	119	0	155	31	349	544	0	0	210	48	1104	82	213	0	94	0	304	0	266	0	0	5	117	0	287	161	64	11889	0	460	0	0	602	22	147	49	0	438	0	120	163	26	7	217	150	6	50	265	295	0	64	138	639	59	0	310	25	309	0	582	106	0	0	49	460	408	214	68	352	0	0	270	0	0	0	14	0	726	0	770	9	0	11	399	0	0	52	0	209
Treponema socranskii subsp. paredis ATCC 35535	21	18	0	19	17	69	0	34	0	51	0	0	59	25	0	0	107	0	45	19	31	78	10	0	48	14	148	0	91	0	38	4	78	0	33	0	0	13	11	0	54	30	9	1243	0	56	0	0	53	10	45	25	0	60	0	15	87	0	35	63	11	0	172	82	61	0	35	14	74	30	0	49	0	28	31	58	7	0	0	29	69	47	21	65	59	36	0	38	0	18	0	0	22	26	12	35	0	0	95	42	13	9	235	0	18
Treponema sp. OMZ 838	10	179	0	15	114	33	0	433	4	23	0	0	4	67	0	0	117	0	153	25	21	402	0	0	214	45	79	35	24	0	82	0	107	0	56	0	0	8	62	0	33	79	61	3512	0	229	0	0	91	15	36	0	0	67	0	25	56	3	47	10	0	0	138	282	12	0	0	16	156	35	0	55	10	6	0	184	21	0	0	70	90	170	49	17	27	0	0	55	0	0	0	0	0	125	0	75	0	49	95	84	10	0	604	0	18
Veillonella parvula DSM 2008	0	69	362	69	144	0	0	196	91	20	14	610	21	71	126	761	0	369	14	35	41	717	7	863	96	0	63	211	22	1199	25	124	145	0	75	26	128	11	19	1821	19	0	1289	121	5	0	1563	49	12	84	131	0	141	0	5	4	17	26	17	0	5	0	94	122	14	0	35	200	17	30	0	233	8	0	0	49	17	0	20	45	0	81	61	0	0	0	18	6	8	0	1568	13	320	618	27	362	613	254	21	556	23	608	0	2991	209
